# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
PGC007547|1.9956853|-7.8391395|166.0718242|-64.8228975|0.107||4.9|Sc|5289.7|1.9|75.5671456473214|14.168|0.295|-20.202|12.472|0.318|15.081||34.37|0.21|74.8169132497708|1.111|2MASXJ01594449-0750209,6dFJ0159445-075021,IRAS01572-0804,MCG-01-06-018,NIBLES0296,PGC007547,PGC1012214,SDSSJ015944.47-075020.9,SDSSJ015944.47-075021.0,VV733
NGC6657|18.5504128|34.0605105|62.4810443|18.3340644|0.319||4.9|SBc|7001|8.7|100.014285714286|14.169|0.318|-20.962|||||35.131|0.149|106.21848524413|0.884|2MASXJ18330147+3403376,CGCG201-008,IRAS18312+3401,MCG+06-41-003,NGC6657,PGC062019,UGC11271,UZC183112+34000
PGC006966|1.8802741|-3.4469242|157.3563166|-62.1439442|0.122|0.89|5|Sc|5007.5|6.7|71.5357142857143|14.169|0.334|-20.064|12.054|0.204|||34.233|0.187|70.2425617284756|1.507|2MASXJ01524900-0326485,2MFGC01414,6dFJ0152490-032649,AGC410384,EGISJ015248.9-032651,EONJ028.204-03.447,FGC0201,HIPASSJ0152-03,IRAS01502-0341,IRAS01503-0341,MCG-01-05-047,PGC006966,RFGC0396
ESO416-037|2.8550371|-28.2006406|222.2764413|-63.5051281|0.077|0.91|3.1|Sb|5157.8|14.6|73.6828543526786|14.169|0.237|-20.112|12.274|0.072|||34.281|0.221|71.8124338522769|1.23|2MASXJ02511814-2812023,2MIG0338,6dFJ0251182-281203,AGC022174,ESO416-037,ESOLV4160370,IRAS02491-2824,MCG-05-07-042,PGC010829
PGC048996|13.8142361|-7.64825|326.7632643|52.5464948|0.189||5|Sc|6978.2|3.6|99.68857421875|14.17|0.5|-20.885|12.425|0.075|||35.055|0.154|102.565207039515|1.063|2MASXJ13485125-0738537,MCG-01-35-012,PGC048996,SS2b239.040
UGC12739|23.6962067|-1.3516211|87.0709675|-59.283571|0.132||5|Sc|6814.4|8.9|97.3485700334821|14.17|0.318|-20.806|12.595|0.084|||34.976|0.16|98.9009237286629|0.882|2MASXJ23414634-0121059,CGCG381-028,IRAS23392-0137,PGC072138,UGC12739,UZC233918-01370
NGC2876|9.4204935|-6.7165829|239.3068455|29.7534697|0.147||-1.9|S0|6115.4|20.2|87.3628557477679|14.17|0.5|-20.538|11.795|0.072|||34.708|0.181|87.4178330114026|1.237|2MASXJ09251378-0642596,6dFJ0925138-064260,MCG-01-24-016,NGC2876,PGC026710
NGC4410B|12.4415588|9.0191537|283.7370897|70.9554393|0.109||0|S0-a|7579.7|19.4|108.281431361607|14.171|0.125|-21.069|||||35.24|0.142|111.686411107433|0.767|2MASXJ12262960+0901094,ABELL1541:[SBM98]J1226+0901,CGCG070-073:,KPG335B,MCG+02-32-047:,MRK1325:,NGC4410B,PGC040697,SDSSJ122629.58+090109.2,UGC07535:,UZC122354+09170,VCC0907
NGC0808|2.0657741|-23.3124549|203.8321877|-73.1798483|0.08|0.67|4|Sbc|4938.6|24.6|70.5514299665179|14.172|0.032|-20.017|12.183|0.062|14.212|13.522|34.189|0.229|68.8334972062255|1.116|2MASXJ02035658-2318416,2MIG0234,AGC021578,ESO478-001,ESOLV4780010,IRAS02015-2333,MCG-04-06-003,NGC0808,PGC007865
NGC2908|9.7253944|79.7012222|131.9882731|33.8621854|0.111||3.8|Sbc|6037|52|86.2428571428571|14.172|0.318|-20.638|||||34.81|0.173|91.6221069561905|0.87|2MASXJ09433142+7942044,CGCG350-029,IRAS09375+7955,MCG+13-07-034,NGC2908,PGC027831,UGC05152,UZC093724+79550
UGC12134|22.6604102|11.7698113|79.1736974|-39.6493712|0.237|0.745|4|Sbc|7344.4|3.7|104.919998604911|14.173|0.136|-20.995|12.922|0.064|14.243|13.533|35.168|0.146|108.043800794727|1.163|2MASXJ22393747+1146115,AGC012134,CGCG429-018,HIPASSJ2239+11A,KUG2237+115,MCG+02-57-008,NGC7353,PGC069429,UGC12134,UZC223706+11310,[RC2]A2237+11
PGC072156|23.7002983|-4.2164205|84.0269666|-61.7266602|0.163||3.1|Sb|5712.6|4.4|81.6085728236607|14.173|0.449|-20.412|12.53|0.077|||34.585|0.191|82.60376013065|1.164|2MASXJ23420106-0412588,6dFJ2342011-041259,IRAS23394-0429,MCG-01-60-023,PGC072156,VV480
UGC03612|6.9610167|39.0873056|177.5256659|17.8337467|0.427||3.1|SBb|5159.5|8.2|73.7071428571429|14.173|0.318|-20.231|||||34.404|0.208|75.997597938782|0.865|2MASXJ06573966+3905143,2MIG0917,CGCG205-008,IRAS06541+3909,MCG+07-15-003,PGC019927,UGC03612,UZC065412+39090
IC4298|13.609649|-26.5538867|315.3065948|35.2308524|0.289|0.92|4.7|Sc|6720.6|4.3|96.0085728236607|14.174|0.428|-20.762|12.266|0.061|||34.936|0.163|97.0957374962736|1.205|2MASXJ13363471-2633139,6dFJ1336347-263314,AGC029893,ESO509-080,ESOLV5090800,IC4298,MCG-04-32-045,PGC048036
IC0112|1.434175|11.4429722|136.3440534|-50.525214|0.217||7.8|Sd|5814.7|3.4|83.0671456473214|14.174|0.318|-20.458|||||34.632|0.187|84.4111843729735|0.856|2MASXJ01260303+1126347,AGC001008,ARK046,CGCG436-049,IC0112,IRAS01234+1110,MCG+02-04-047,PGC005328,UGC01008,UZC012324+11110
NGC7274|22.403075|36.1258333|92.3678554|-17.8596339|0.466|1.01|-4.9|E|6124|27|87.4857142857143|14.175|0.234|-20.65|||||34.825|0.172|92.2571751297156|1.262|2MASXJ22241107+3607330,CGCG514-026,MCG+06-49-013,NGC7274,NPM1G+35.0458,PGC068770,UGC12026,UZC222200+35530
UGC06340|11.3320732|-0.8797567|261.0635515|54.3779751|0.21||3.6|SABb|7369.8|9.3|105.282854352679|14.175|0.304|-20.98|12.61|0.441|15.465||35.155|0.147|107.398880859336|1.185|2MASXJ11195544-0052473,CGCG011-059,IRAS11173-0036,MCG+00-29-016,PGC034675,SDSSJ111955.45-005247.9,SDSSJ111955.48-005246.7,SDSSJ111955.49-005246.5,SDSSJ111955.49-005246.7,UGC06340,UZC111724-00360,[FN2007]0782
UGC07479|12.400568|58.3851533|129.7813385|58.3772682|0.06||-2.3|S0|4477.1|2.3|63.9585728236607|14.175|0.289|-20.014|12.778|0.107|15.509||34.189|0.229|68.8334972062255|1.059|2MASXJ12240211+5823063,CGCG293-017:,MCG+10-18-038,NGC4364,PGC040309,SDSSJ122402.02+582306.7,SDSSJ122402.04+582306.7,SDSSJ122402.05+582306.7,UGC07479,UZC122136+58400
NGC3535|11.1427532|4.8318567|250.6477058|56.8649274|0.24||1|Sa|6921.4|6.2|98.8771414620536|14.176|0.271|-20.853|12.684|0.134|15.534||35.029|0.156|101.344425644297|1.066|2MASXJ11083390+0449545,AGC006189,CGCG039-010,IRAS11059+0505,MCG+01-29-004,NGC3535,NIBLES1169,NPM1G+05.0287,PGC033760,SDSSJ110833.91+044954.7,SDSSJ110833.91+044954.8,SDSSJ110833.92+044954.8,UGC06189,UZC110554+05060,[EKS2015]RS0390
NGC4006|11.9682721|-2.1200889|277.1089432|58.0520852|0.115||-4.9|E|5850|34.6|83.5714285714286|14.176|0.294|-20.486|11.616|0.125|||34.662|0.185|85.585412807032|1.182|2MASXJ11580578-0207124,CGCG013-015,IC2983,MCG+00-31-006,NGC4006,PGC037655,SDSSJ115805.77-020712.2,UGC06951,UZC115536-01490
NGC2518|8.1222933|51.1316042|167.6218057|32.4540634|0.284||-3.2|E-S0|5256.3|1.8|75.0899972098214|14.177|0.296|-20.295|12.352|0.149|15.853||34.472|0.201|78.415158460956|1.106|2MASXJ08072025+5107539,CGCG263-009,MCG+09-14-006,NGC2518,NIBLES0587,NPM1G+51.0099,PGC022800,SDSSJ080720.24+510753.7,SDSSJ080720.25+510753.7,SDSSJ080720.25+510753.8,SDSSJ080720.25+510753.9,UGC04221,UZC080330+51170
UGC09117|14.2477858|14.1258372|3.347982|66.6070197|0.128||1.1|SBa|4974.9|2|71.0699986049107|14.177|0.28|-20.193|12.918|0.159|15.338||34.37|0.211|74.8169132497708|1.225|2MASXJ14145199+1407330,ADBSJ141453+1407,AGC009117,CGCG074-150,IRAS14124+1421,MCG+02-36-059,NIBLES2075,PGC050897,SDSSJ141452.03+140733.1,SDSSJ141452.04+140733.1,UGC09117,UZC141230+14210
UGC04642|8.8823933|42.4150471|178.9043697|39.7784824|0.119||4|SBbc|7196|2.6|102.8|14.178|0.313|-20.965|13.212|0.105|15.5||35.143|0.148|106.80714621305|0.848|2MASXJ08525659+4224541,ARK184,CGCG208-063,CGCG209-001,IRAS08496+4236,KUG0849+426,MCG+07-18-060,PGC024940,SDSSJ085256.62+422454.3,SDSSJ085256.63+422454.3,SDSSJ085256.64+422454.3,UGC04642,UZC084936+42360
UGC00540|0.882869|29.0324241|123.3356692|-33.8380832|0.23||5|Sc|4977.5|3|71.1071428571429|14.178|0.072|-20.157|13.025|0.03|13.988|13.688|34.335|0.215|73.6206787098167|0.856|2MASXJ00525830+2901565,AGC000540,ARK019,CGCG501-031,IRAS00502+2845,LAMOSTJ005258.35+290156.9,LGG014:[G93]011,MCG+05-03-016,PGC003108,UGC00540,UZC005012+28450
NGC3713|11.5283361|28.1535856|204.9815047|72.3306621|0.099||-3.1|E-S0|6898.6|2.2|98.5514299665179|14.179|0.366|-20.876|12.481|0.079|15.353||35.055|0.154|102.565207039515|1.081|2MASXJ11314203+2809127,CGCG156-094,MCG+05-27-084,NGC3713,NIBLES1295,PGC035546,SDSSJ113142.01+280912.9,SDSSJ113142.02+280912.9,UGC06511,UZC112900+28250,[RGD2016]J113142.01+280912.9
ESO510-074|14.1486443|-26.9491228|323.5264391|32.8052959|0.271||0.9|Sa|6352.9|20.4|90.755712890625|14.18|0.2|-20.645|11.769|0.077|||34.825|0.172|92.2571751297156|1.3|2MASXJ14085512-2656566,2MFGC11471,ESO510-074,ESOLV5100740,FLASHJ140854.11-265645.1,MCG-04-33-050,NFPJ140854.1-265646,PGC050486
UGC01032|1.4590417|19.1788056|134.5971165|-42.8736469|0.235|0.68|-2|S0|5095.9|8.5|72.7985700334821|14.18|0.087|-20.172|||14.1|13.797|34.352|0.212|74.1993734477117|0.888|2MASXJ01273255+1910437,CGCG459-057,IRAS01248+1855,MCG+03-04-041,MRK0359,PGC005435,UGC01032,UZC012448+18550,[RC2]A0124+18
NGC3638|11.3361194|-8.1056944|267.5995978|48.404645|0.174||3.1|Sb|7439.8|65.9|106.282854352679|14.18|0.5|-20.988|12.015|0.079|||35.168|0.148|108.043800794727|1.203|2MASXJ11201003-0806205,6dFJ1120100-080621,IRAS11176-0749,MCG-01-29-007,NGC3638,PGC034688,PGC1008353,SS2b164.014
NGC2746|9.0998472|35.3774067|188.4350064|41.7570119|0.151||1.1|Sa|7054|3.1|100.771428571429|14.183|0.343|-20.91|12.428|0.127|15.799||35.093|0.152|104.375772055067|1.195|2MASXJ09055947+3522388,2MIG1222,CGCG180-032,IRAS09028+3535,KIG0298,MCG+06-20-023,NGC2746,PGC025533,SDSSJ090559.44+352238.5,SDSSJ090559.45+352238.6,UGC04770,UZC090248+35340
NGC5028|13.2294125|-13.0423472|311.3155128|49.4656345|0.187||-4.4|E|6453.8|28.2|92.1971400669643|14.183|0.647|-20.684|||||34.867|0.168|94.0589477586377|1.327|2MASXJ13134588-1302324,2MIG1833,6dFJ1313459-130233,MCG-02-34-011,NGC5028,NPM1G-12.0448,PGC045976
UGC00130|0.2324796|30.8829551|113.5177614|-31.3025252|0.324||-4|E|4784.4|16.1|68.3485700334821|14.184|0.237|-20.079|||||34.263|0.222|71.2196930633262|0.87|2MASXJ00135693+3052587,CGCG499-083,LAMOSTJ001356.92+305258.5,LGG001:[G93]018,PGC000921,SRGB062.010,UGC00130,UZC001118+30370
NGC0624|1.5975199|-10.0029899|156.4758445|-69.9272115|0.14||3|SBb|5861.2|3.6|83.7314313616071|14.184|0.305|-20.417|12.819|0.16|15.392||34.601|0.189|83.2147567295189|1.114|2MASXJ01355106-1000105,6dFJ0135511-100011,HIPASSJ0135-09,IRAS01333-1015,MCG-02-05-010,NGC0624,NIBLES0236,PGC005932,SDSSJ013551.07-100010.7,SDSSJ013551.08-100010.7
NGC5142|13.416976|36.3993377|87.4791625|78.3109078|0.059|0.93|-1.9|S0|5358.4|2.1|76.5485700334821|14.184|0.067|-20.369|12.866|0.152|15.992|13.254|34.553|0.194|81.3954785300754|1.071|2MASXJ13250113+3623585,CGCG189-066,CGCG190-007,KPG373B,KUG1322+366A,MCG+06-30-006,MRK0452,NGC5142,PGC046919,SDSSJ132501.10+362358.2,SDSSJ132501.11+362358.2,UGC08435,UZC132248+36400,[MLO2002]J132501.2+362355
NGC5760|14.7950708|18.502014|21.2176807|61.9323611|0.216||1|Sa|5969.4|1.4|85.2771414620536|14.185|0.278|-20.582|12.718|0.091|15.662||34.767|0.176|89.8255030787708|1.196|2MASXJ14474224+1830074,AGC009531,CGCG105-028,IRAS14453+1841,MCG+03-38-015,NGC5760,PGC052833,SDSSJ144742.26+183007.2,SDSSJ144742.26+183007.3,UGC09531,UZC144518+18430
UGC01792|2.3313111|29.0362222|145.2586115|-29.9727368|0.388|1|5.2|Sc|4985|1.5|71.2142857142857|14.186|0.279|-20.131|12.312|0.064||13.17|34.317|0.216|73.0130126436407|1.16|2MASXJ02195272+2902104,AGC001792,CGCG504-057,IRAS02169+2848,MCG+05-06-026,PGC008882,UGC01792,UZC021700+28490
ESO489-057|6.4479889|-24.6170833|232.7862186|-16.0498945|0.272||-2.9|E-S0|6988.9|11.4|99.8414271763393|14.187|0.164|-20.776|12.093|0.087|||34.963|0.161|98.3105781755443|1.047|2MASXJ06265276-2437014,6dFJ0626528-243702,ESO489-057,ESOLV4890570,IRAS06247-2434,PGC019060
NGC5252|13.637736|4.5425601|331.2976694|64.8033785|0.149||-2|S0|6912.8|16.9|98.7542829241071|14.187|0.325|-20.868|12.421|0.153|15.327|14.21|35.055|0.155|102.565207039515|1.111|2MASXJ13381586+0432330,AGC008622,CGCG045-056,MCG+01-35-022,NGC5252,PGC048189,SDSSJ133815.86+043233.3,SDSSJ133815.87+043233.3,UGC08622,UZC133542+04470,[EKS2015]RS1139
NGC0180|0.6326917|8.6352222|117.2469995|-54.0876999|0.238||4.6|Sc|5279.3|3.2|75.4185686383929|14.187|0.33|-20.234|||||34.421|0.206|76.5949764306754|1.342|2MASXJ00375769+0838068,2MIG0076,ADBSJ003751+0838,AGC000380,CGCG409-050,HIPASSJ0037+08,IRAS00353+0821,MCG+01-02-039,NGC0180,PGC002268,UGC00380,UZC003524+08220
NGC3470|10.9791385|59.5106923|145.9816831|52.278793|0.053||1.8|Sab|6528.2|7.1|93.2600027901786|14.188|0.279|-20.775|13.012|0.117|15.629||34.963|0.161|98.3105781755443|1.134|2MASXJ10584486+5930383,CGCG291-016,KPG259A,MCG+10-16-038,NGC3470,PGC033040,SDSSJ105844.89+593038.4,SDSSJ105844.91+593038.5,UGC06060,UZC105542+59470
PGC065380|20.789125|-22.5401389|23.299727|-34.961284|0.322||-5|E|7884|27|112.628571428571|14.19|0.5|-21.109|||||35.299|0.138|114.762488604345|1.11|2MASXJ20472085-2232245,MCG-04-49-002,PGC065380,PGC162638
UGC12490|23.3106523|25.232816|97.7680308|-33.0645056|0.448|0.7|1.1|SBa|8083.5|3.6|115.478571428571|14.191|0.076|-21.199|||14.161|13.571|35.39|0.132|119.674019493071|1.042|2MASXJ23183834+2513585,AGC012490,CGCG475-060,CGCG476-001,IRAS23161+2457,KPG581A,KUG2316+249,LAMOSTJ231838.34+251358.1,MCG+04-55-001,MRK0319,PGC071013,UGC12490,UZC231612+24570,[RC2]A2316+24
UGC03863|7.4817194|49.1370278|168.8794425|26.079273|0.473||1|SBa|5917.2|6.8|84.5314313616071|14.191|0.626|-20.532|||||34.723|0.18|88.0237597400973|1.085|2MASXJ07285419+4908133,CGCG235-018,IRAS07250+4914,KIG0191,MCG+08-14-020,NPM1G+49.0077,PGC021101,UGC03863,UZC072506+49140
NGC4798|12.9153255|27.4126754|53.3128662|89.1757378|0.054||-2.6|E-S0|7849.7|12.8|112.13857421875|14.192|0.036|-21.153|12.381|0.249|15.597|13.162|35.345|0.135|117.219602450329|1.06|2MASXJ12545516+2724455,AGC008038,CGCG159-118,CGCG160-013,LAMOSTJ125455.17+272445.7,MCG+05-31-004,NGC4798,PGC043981,SDSSJ125455.16+272445.7,SDSSJ125455.17+272445.7,UGC08038,UZC125230+27410,[RGD2016]J125455.16+272445.7
UGC06476|11.4766939|23.4046064|219.594264|70.9293498|0.072|0.65|3.6|Sbc|7330.2|2.5|104.717145647321|14.193|0.069|-20.987|13.133|0.119|15.065|13.623|35.18|0.146|108.642577630186|1.031|2MASXJ11283609+2324166,AGC006476,CGCG126-060,MCG+04-27-040,PGC035328,SDSSJ112836.10+232416.7,UGC06476,UZC112554+23400,[RGD2016]J112836.10+232416.7
NGC2326|7.136384|50.6820008|166.366674|23.1995627|0.352||3.1|Sb|5985.3|4.6|85.5042829241071|14.193|0.329|-20.559|||||34.752|0.178|89.2071737391177|1.311|2MASXJ07081104+5040550,CGCG234-060,IRAS07043+5045,MCG+08-13-062,NGC2326,PGC020218,UGC03681,UZC070418+50450,[MO2001]J070810.9+504055.1
UGC09945|15.6485701|4.5830509|11.0384167|44.1920469|0.232||5.2|Sc|6841.2|2|97.7314313616071|14.194|0.299|-20.848|12.761|0.25|15.602||35.042|0.155|101.952989159259|0.999|2MASXJ15385489+0434589,AGC009945,CGCG050-056,IRAS15364+0444,MCG+01-40-009,PGC055687,SDSSJ153854.88+043459.0,SDSSJ153854.88+043459.1,UGC09945,UZC153624+04450,[EKS2015]RS1309
ESO532-034|22.219565|-22.4450618|31.4810702|-53.9207705|0.148||2.4|Sab|5303|24.3|75.7571428571429|14.195|0.204|-20.209|12.577|0.071|||34.404|0.207|75.997597938782|0.986|2DFGRSS005Z035,2MASXJ22131044-2226422,6dFJ2213105-222642,AGC035160,ESO532-034,ESOLV5320340,IRAS22104-2241,MCG-04-52-024,PGC068313
UGC01325|1.8602944|8.2565833|147.4353073|-51.72906|0.463||-4.8|E|5522.5|14.1|78.8928571428571|14.195|0.238|-20.31|||||34.505|0.198|79.6159742036451|1.175|2MASXJ01513706+0815237,CGCG412-035,KPG044A,MCG+01-05-038,NPM1G+08.0058,PGC006874,UGC01325,UZC014854+08000
NGC4843|12.966895|-3.6211175|306.1382016|59.2096856|0.104||0.2|S0-a|4932.5|4|70.4642857142857|14.196|0.458|-20.103|11.44|0.081|||34.299|0.218|72.4102350557357|1.296|2MASXJ12580082-0337161,2MFGC10265,6dFJ1258008-033716,AGC520334,CGCG015-048,MCG+00-33-024,NGC4843,NIBLES1764,PGC044388,SDSSJ125800.83-033715.9,UZC125524-03210
UGC00890|1.3522194|1.3733333|138.1951658|-60.6154091|0.148||3.6|SBbc|4971.3|2.9|71.0185686383929|14.196|0.328|-20.067|12.543|0.067|||34.263|0.221|71.2196930633262|1.295|2MASXJ01210799+0122240,AGC000890,CGCG385-078,IRAS01185+0106,MCG+00-04-093,PGC004896,UGC00890,UZC011836+01060,[RGD2016]J012108.00+012224.0
ESO575-032|12.948975|-20.4718056|304.6760783|42.3813398|0.399||-2.8|E-S0|6844|22.4|97.7714285714286|14.197|0.441|-20.779|12.635|0.072|||34.976|0.16|98.9009237286629|0.993|2MASXJ12565631-2028185,ESO575-032,ESOLV5750320,MCG-03-33-019,NPM1G-20.0381,PGC044216
NGC6035|16.0567177|20.8912814|35.5928328|45.9773206|0.334||5.2|Sc|4755.6|2.2|67.9371442522321|14.198|0.034|-20.101|13.077|0.054|15.396|13.498|34.299|0.218|72.4102350557357|0.989|2MASXJ16032417+2053285,CGCG137-024,MCG+04-38-018,NGC6035,PGC056864,SDSSJ160324.17+205328.4,SDSSJ160324.17+205328.5,UGC10154,UZC160112+21020
NGC7805|0.024103|31.4337499|110.591274|-30.2371736|0.229|1|-1.9|S0|4831.2|34.2|69.0171456473214|14.198|0.093|-20.083|||14.668|13.288|34.281|0.22|71.8124338522769|1.151|2MASXJ00012677+3126016,ARP112:,CGCG498-064,CGCG499-036,KPG602A,KUG2358+311,LAMOSTJ000126.77+312601.3,LGG001:[G93]001,MCG+05-01-024,MRK0333,NGC7805,PGC000109,UGC12908,UZC235848+31090,VV226:
NGC5583|14.3612439|13.2323687|4.0273423|64.7484169|0.1||-5|E|5040.1|4.5|72.0014299665179|14.199|0.219|-20.205|12.92|0.077|15.636||34.404|0.208|75.997597938782|0.926|2MASXJ14214048+1313562,AGC009196,CGCG075-018,MCG+02-37-004,NGC5583,PGC051313,SDSSJ142140.49+131356.6,UGC09196,UZC141918+13270
ESO475-016|1.3126972|-23.9452778|187.1250607|-83.0648048|0.113||2.2|SBab|7055.2|7.5|100.78857421875|14.199|0.213|-20.804|12.395|0.075|||35.003|0.158|100.138174587953|1.01|2MASXJ01184570-2356429,6dFJ0118457-235643,ESO475-016,ESOLV4750160,IRAS01163-2412,MCG-04-04-003,PGC004704
IC5343|23.6562593|-22.4989427|44.8011448|-73.0235426|0.097||8.6|Sm|8007.1|5.7|114.387144252232|14.2|0.411|-21.11|12.959|0.081|||35.31|0.138|115.345398729271|0.934|2MASXJ23392250-2229559,6dFJ2339225-222956,ESO536-015,IC5343,IRAS23367-2246,MCG-04-55-019,PGC072032,PGC196084
NGC5679A|14.5850972|5.3567778|356.1566827|57.0930634|0.16||5.6|Sc|7494.7|4.3|107.067145647321|14.2|0.5|-21.028|||||35.228|0.142|111.070858372351|0.891|2MASXJ14350635+0521244,AGC009383,ARP274:,KPG427A,MCG+01-37-034,NGC5679A,PGC052130,UZC143236+05340,VV458:
ESO527-005|20.0646792|-26.4675833|15.3397604|-26.8005402|0.417||-0.3|S0-a|8117.2|34.8|115.960002790179|14.2|0.5|-21.167|11.946|0.252|||35.367|0.134|118.413199539969|1.076|2MASXJ20035281-2628031,6dFJ2003528-262803,ESO527-005,MCG-04-47-006,PGC064052
ESO571-012|11.6493278|-17.9695556|279.6286882|41.5992989|0.158|0.84|5.3|Sc|6622.6|4.3|94.6085728236607|14.2|0.5|-20.695|12.834|0.07|||34.895|0.166|95.279636488069|1.043|2MASXJ11385758-1758103,6dFJ1138576-175810,AGC028007,ESO571-012,IRAS11364-1741,MCG-03-30-006,PGC036097
PGC005073|1.3866611|-6.6362222|144.5795221|-68.162897|0.168||||5330|39|76.1428571428571|14.2|0.5|-20.204|||||34.404|0.208|75.997597938782||2MASXJ01231198-0638104,MCG-01-04-032,PGC005073
ESO417-011|3.0208644|-28.4677274|223.2613919|-61.3471014|0.088|0.95|-1.1|S0-a|6373|10.2|91.0428571428571|14.2|0.172|-20.552|12.29|0.082|14.46|13.36|34.752|0.177|89.2071737391177|1.178|2DFGRSS316Z043,2MASXJ03011511-2828037,6dFJ0301151-282804,DUKST417-003,ESO417-011,ESOLV4170110,MCG-05-08-011,PGC011405
PGC038529|12.1363611|-15.8033889|287.9230868|45.8040128|0.248|0.99|0.7|Sa|5248.1|4.7|74.9728585379464|14.201|0.06|-20.186|11.829|0.076||13.191|34.387|0.209|75.4050109794025|1.21|2MASXJ12081090-1548122,AGC520010,LGG273:[G93]002,MCG-03-31-023,PGC038529,PGC4126744
UGC03933|7.6269755|41.9470423|177.056273|25.9305574|0.224|0.765|4.1|Sbc|5898.2|2|84.2600027901786|14.201|0.077|-20.507|13|0.271|15.52|13.491|34.708|0.181|87.4178330114026|1.085|2MASXJ07373709+4156497,2MIG1007,CGCG206-014,MCG+07-16-008,NIBLES0487,PGC021431,SDSSJ073737.11+415649.4,SDSSJ073737.12+415649.2,SDSSJ073737.12+415649.3,UGC03933,UZC073400+42030,[RC2]A0734+42
UGC06469|11.4716057|2.6537489|260.2682182|58.4609754|0.159||4.1|Sbc|6852|13.9|97.8857142857143|14.202|0.297|-20.801|13.577|0.07|15.317||35.003|0.158|100.138174587953|0.961|2MASXJ11281767+0239141,2MASXJ11281821+0239092,AGC006469,CGCG039-191,IRAS11257+0255,MCG+01-29-044,PGC035307,SDSSJ112817.70+023914.2,UGC06469,UZC112542+02560,[EKS2015]RS0478,[ISI96]1125+0255
UGC01993|2.527788|39.3784191|143.2545176|-19.5054036|0.242||3.2|Sb|8021.5|4.7|114.592857142857|14.203|0.327|-21.007|||||35.21|0.03|110.1538845115|1.253|2MASXJ02314005+3922421,2MFGC01983,CGCG523-054,MCG+06-06-049,PGC009618,UGC01993,UZC022830+39100,[RC2]A0228+39
NGC0768|1.9780325|0.529193|155.9693833|-57.9629899|0.14||3.8|SBbc|6990.2|10.9|99.8600027901786|14.203|0.286|-20.813|12.91|0.274|15.699||35.016|0.157|100.739494681502|1.193|2MASXJ01584095+0031451,AGC001457,CGCG387-018,IRAS01561+0017,KPG049A,KUG0156+002,MCG+00-06-016,NGC0768,PGC007465,SDSSJ015840.93+003145.1,SDSSJ015840.93+003145.2,SDSSJ015840.94+003145.2,UGC01457,UZC015606+00170,[EKS2015]RF0290
NGC0508|1.3946351|33.2808629|130.6418791|-29.107723|0.273|1.09|-4.9|E|5493.5|8.3|78.4785714285714|14.204|0.192|-20.349|11.935|0.306|||34.553|0.195|81.3954785300754|1.032|2MASXJ01234058+3316502,ARP229:,CGCG502-068,MCG+05-04-045,NGC0508,PGC005099,UGC00939,UZC012048+33020,VV207:,[MLO2002]J012340.8+331652
NGC6713|18.8457111|33.9598056|63.8119743|14.8896634|0.357||||5242.8|36.7|74.8971400669643|14.205|0.317|-20.316|||||34.521|0.197|80.2047300985074|0.685|2MASXJ18504456+3357353,CGCG201-038,IRAS18489+3353,KAZ497,NGC6713,PGC062487,UGC11365,UZC184854+33530
UGC02105|2.6277722|34.4315|146.6426968|-23.50252|0.31||1.1|SBa|4910.6|11.9|70.1514299665179|14.205|0.091|-20.094||||13.485|34.299|0.218|72.4102350557357|1.084|2MASXJ02373998+3425534,AGC002105,ARK089,CGCG523-076,IRAS02346+3412,KUG0234+342,LGG066:[G93]011,MCG+06-06-068,MRK1050,PGC009958,UGC02105,UZC023436+34140,[RC2]A0234+34
